,shots,shots_on_target,yellow_cards,red_cards,team_touches,pressures,tackles,interceptions,blocks,xg,op_xg,xa,shot_creating_actions,passes_completed,passes_attempted,progressive_distance_passed,carries,progressive_distance_carried,dribbles_completed,dribbles_attempted,defensive_pen_area_touches,D3_touches,M3_touches,A3_touches,attacking_pen_area_touches,shot_on_target_blocks,live_ball_touches,players_dribbles_past,carries_total_distance,pass_target,passes_received,miscontrols,possessions_lost,total_distance_passed,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,key_passes,final_third_entry_passes,penalty_area_entry_passes,penalty_area_entry_crosses,progressive_passes,tackles_attempted,tackles_won,D3_tackles,M3_tackles,A3_tackles,dribbler_tackles_completed,dribbler_tackles_attempted,pressure_regains,D3_pressures,M3_pressures,A3_pressures,shot_blocks,errors,live_ball_passes,dead_ball_passes,free_kicks_taken,through_balls,pressured_passes,switch_passes,crosses,corners,ground_passes,low_passes,hight_passes,left_foot_passes,right_foot_passes,head_passes,throw_ins_taken,other_pass_type,passes_to_offside,passes_out_of_play,passes_intercepted,passes_blocked,pass_blocks,fouls,fouls_drawn,offside,penalties_won,penalties_conceded,ball_recoveries,aerials_won,aerials_lost,team_result
10,7,3,1,0,535,151,29,6,11,0.8,0.8,0.9,14,313,407,3176,365,1100,14,19,49,165,226,181,27,0,489,14,2148,373,313,18,21,7760,93,116,139,161,79,109,7,33,14,5,45,29,11,10,14,5,11,26,42,36,76,39,1,1,359,48,10,0,62,24,18,5,212,89,106,148,202,18,26,4,1,9,8,24,10,9,8,1,0,0,98,19,16,D
11,24,5,1,0,559,126,26,5,4,1.7,1.7,1.0,34,314,424,2836,304,851,14,22,51,149,229,205,46,0,499,17,1726,379,314,12,13,6510,124,147,129,155,57,108,14,35,12,2,33,26,12,12,11,3,10,23,42,39,64,23,1,0,363,61,15,1,86,12,12,9,189,109,126,84,254,31,28,6,0,10,10,16,3,12,12,0,0,0,95,30,20,W
12,18,7,3,0,593,211,27,6,13,0.5,0.5,0.5,29,331,444,2755,333,1202,7,18,60,175,261,184,44,0,533,9,2234,407,331,9,12,7337,103,127,155,179,71,119,13,35,16,2,52,27,14,14,7,6,11,27,54,69,88,54,5,1,385,59,10,1,106,14,24,7,215,91,138,105,256,26,34,10,0,12,10,19,8,12,11,0,0,0,103,23,23,L
13,11,3,1,0,443,277,21,11,18,1.0,1.0,0.9,22,201,296,1971,239,863,9,15,81,174,181,110,20,0,401,9,1514,263,201,10,12,4311,82,103,71,90,43,91,11,22,3,3,24,21,12,14,4,3,3,12,74,126,98,53,3,1,252,44,8,0,27,11,11,4,141,67,88,81,170,14,19,3,1,7,8,11,15,9,7,3,0,0,78,17,22,L
14,11,4,2,0,495,156,19,9,15,1.5,1.5,1.1,15,271,383,2151,252,855,8,12,46,169,238,120,22,0,442,8,1609,356,271,14,15,5546,99,118,125,157,43,97,8,23,5,2,28,19,11,6,11,2,7,21,36,49,74,33,3,0,330,53,14,2,111,8,18,6,193,73,117,97,220,19,22,8,2,10,7,8,12,17,12,3,0,0,98,28,21,L
15,13,7,3,0,434,204,34,15,16,1.8,1.8,0.9,16,165,266,2003,157,450,8,13,69,166,146,137,24,0,386,9,953,239,165,13,13,3778,77,96,51,73,33,86,8,16,9,4,17,34,21,16,14,4,13,41,44,89,79,36,4,0,218,48,12,1,66,7,8,1,111,64,91,73,133,16,20,2,2,11,7,6,12,14,8,2,0,0,83,25,23,W
16,8,3,2,0,431,162,25,8,20,0.1,0.1,0.1,10,191,296,1719,218,702,1,8,78,155,172,125,16,0,382,1,1290,292,191,10,11,3816,90,114,69,92,30,81,3,18,2,0,22,25,14,11,8,6,7,23,34,83,58,21,8,1,248,48,11,0,77,10,11,5,142,45,109,84,155,19,19,3,3,9,9,15,12,12,10,3,0,0,88,10,31,D
17,9,0,2,0,506,132,20,9,12,0.4,0.4,0.2,15,298,394,2750,262,853,10,15,45,155,231,155,26,0,457,11,1778,356,298,12,17,6926,90,109,138,162,67,108,5,21,8,1,35,20,12,10,5,5,8,23,30,25,56,51,1,0,345,49,11,0,83,14,19,5,202,95,97,131,192,21,26,10,0,15,4,14,11,10,10,0,0,0,84,18,15,D
18,21,5,0,0,682,121,6,7,9,1.5,1.5,0.9,33,461,572,3168,472,1352,11,17,57,217,332,181,26,0,622,11,2724,527,461,9,12,9111,171,190,222,254,66,114,16,34,12,3,38,6,4,2,4,0,2,4,40,29,58,34,1,0,510,62,14,0,154,13,11,10,351,126,95,170,326,17,32,9,0,9,4,15,8,15,14,0,0,0,96,33,36,W
19,21,9,2,0,612,115,16,7,11,3.7,3.7,2.1,31,367,478,2796,343,1086,13,18,86,248,207,185,28,0,561,14,1834,456,367,12,8,8232,123,149,163,190,78,126,13,30,5,2,29,16,10,10,4,2,5,22,33,52,38,25,5,0,427,51,15,1,69,22,15,8,285,82,111,101,295,39,18,10,1,10,7,9,6,13,12,2,0,0,101,21,44,W
20,7,2,4,0,524,209,14,12,12,1.1,1.1,0.4,9,334,432,2521,347,854,9,14,86,227,239,82,12,0,478,9,1743,415,334,11,8,7430,123,138,133,159,74,109,5,14,3,0,21,14,10,8,5,1,3,17,42,62,111,36,3,0,385,47,15,0,96,8,1,6,259,82,91,129,244,15,18,6,1,3,11,20,9,11,11,1,0,0,80,24,15,L
21,14,6,2,0,652,197,20,13,18,1.9,1.9,1.6,25,396,511,2956,350,1205,10,16,70,191,317,178,38,0,607,10,2246,481,396,15,11,8839,124,154,177,207,91,135,12,26,14,4,42,20,10,8,10,2,11,22,56,41,104,52,1,0,466,45,9,7,66,18,17,4,317,102,92,131,314,23,21,9,2,8,5,10,17,7,6,2,0,0,110,15,19,W
22,10,2,0,0,626,117,23,8,18,1.1,1.1,1.1,15,379,494,2721,385,1393,8,15,76,235,281,161,22,1,584,10,2531,431,379,11,16,7501,157,186,160,188,58,101,7,27,8,1,43,23,11,14,7,2,3,5,37,37,54,26,4,0,452,42,14,1,84,12,14,6,340,64,90,133,297,27,12,11,1,13,6,18,14,13,11,1,0,0,116,25,34,D
23,16,7,1,0,743,167,21,10,20,1.5,1.5,1.4,26,506,607,3104,497,1483,12,18,60,213,391,183,30,0,694,14,2918,589,506,16,10,10731,181,208,217,240,102,140,11,31,13,4,43,21,15,11,6,4,7,21,50,43,76,48,3,0,557,50,9,3,69,32,15,6,406,93,108,184,366,12,25,8,1,4,17,10,17,13,10,1,0,0,93,23,21,D
24,12,5,4,1,601,172,27,5,14,2.5,2.5,0.7,18,343,465,2420,356,1085,13,21,65,199,294,145,21,0,554,14,2141,441,343,9,9,7154,127,160,153,183,60,110,7,24,8,2,39,27,15,18,7,2,11,21,53,65,75,32,4,1,415,50,16,1,81,19,17,4,233,100,132,121,278,25,18,4,2,12,9,8,10,14,17,2,0,0,108,31,31,W
